Sl. No,State/UT-wise,Servers - AS on 31.12.2017,Servers - Added during the Year 2018,Personal computers - As on 31.12.2017,Personal computers - Added during the Year 2018,Laptops - As on 31.12.2017,Laptops - Added during the Year 2018
1,Andhra Pradesh,12,2,5707,30,13,0
2,Arunachal Pradesh,6,0,1009,57,27,5
3,Assam,1,0,137,0,4,0
4,Bihar,0,0,1809,0,152,0
5,Chhattisgarh,40,12,2525,186,52,22
6,Goa,25,0,420,35,1,288
7,Gujarat,27,63,4568,6118,212,0
8,Haryana,138,0,3710,0,243,11
9,Himachal Pradesh,102,1,1536,239,106,15
10,Jammu & Kashmir,29,0,2397,100,92,2
11,Jharkhand,24,10,2402,191,454,27
12,Karnataka,195,0,10462,109,1994,8
13,Kerala,16,0,6770,550,588,1647
14,Madhya Pradesh,123,0,10862,2224,1667,4
15,Maharashtra,86,18,14894,1120,805,216
16,Manipur,31,0,329,6,20,5
17,Meghalaya,13,1,205,60,31,3
18,Mizoram,0,2,391,49,0,5
19,Nagaland,1,0,266,268,1,0
20,Odisha,121,0,4495,35,63,0
21,Punjab,32,0,1626,445,622,153
22,Rajasthan,22,6,5333,1368,109,80
23,Sikkim,9,0,250,15,60,9
24,Tamil Nadu,73,1,8141,321,306,25
25,Telangana,27,0,3557,135,217,60
26,Tripura,5,1,620,11,24,126
27,Uttar Pradesh,10,0,9710,0,462,0
28,Uttarakhand,NA,0,NA,20,NA,2
29,West Bengal,146,1,5886,742,287,113
30,Andaman & Nicobar Islands,0,0,338,21,7,0
31,Chandigarh,16,0,554,20,62,1
32,Dadra & Nagar Haveli,0,0,72,9,4,0
33,Daman & Diu,0,0,72,9,4,0
34,Delhi,85,7,4288,443,65,3
35,Lakshadweep,0,0,41,1,0,0
36,Puducherry,8,0,643,0,7,0
Total,Total,1423,125,116025,14937,8761,2830
